,recipient,award_type,event_key,year
36898,frc7048,10,2018ndgf,2018
36899,frc7048,14,2018ndgf,2018
36900,frc7048,1,2019ndgf,2019
36901,frc7051,14,2018capo,2018
36902,frc7052,4,2020oncmp,2020
36903,frc7054,15,2018micmp2,2018
36904,frc7054,15,2018migul,2018
36905,frc7054,10,2018miwmi,2018
36906,frc7054,14,2018miwmi,2018
36907,frc7054,21,2019mimus,2019
36908,frc7056,15,2018micmp1,2018
36909,frc7056,10,2018milak,2018
36910,frc7056,71,2020miket,2020
36911,frc7057,10,2018cafr,2018
36912,frc7058,1,2018onwat,2018
36913,frc7059,15,2018azfl,2018
36914,frc7060,13,2020gagai,2020
36915,frc7063,10,2018txsa,2018
36916,frc7067,10,2018iscmp,2018
36917,frc7067,10,2018isde1,2018
36918,frc7067,14,2018isde3,2018
36919,frc7067,13,2019isde1,2019
36920,frc7067,16,2020isde2,2020
36921,frc7068,10,2018mnmi,2018
36922,frc7068,21,2020mndu,2020
36923,frc7069,15,2018hiho,2018
36924,frc7072,15,2018alhu,2018
36925,frc7072,2,2018alhu,2018
36926,frc7072,1,2019alhu,2019
36927,frc7077,13,2018nvlv,2018
36928,frc7079,1,2018iscmp,2018
36929,frc7079,15,2018isde3,2018
36930,frc7081,1,2018nyut,2018
36931,frc7081,10,2018nyut,2018
36932,frc7081,14,2018nyut,2018
36933,frc7083,13,2018isde3,2018
36934,frc7084,11,2018mialp,2018
36935,frc7084,18,2018mibotb,2018
36936,frc7084,10,2018migay,2018
36937,frc7084,14,2018migay,2018
36938,frc7084,1,2019mial2,2019
36939,frc7086,21,2019tuis2,2019
36940,frc7088,1,2019txdel,2019
36941,frc7088,1,2020txdel,2020
36942,frc7094,15,2018lake,2018
36943,frc7094,30,2019lake,2019
36944,frc7094,4,2020lake,2020
36945,frc7097,14,2018scmb,2018
36946,frc7097,15,2018scmb,2018
36947,frc7102,10,2018mxmo,2018
36948,frc7102,10,2018roe,2018
36949,frc7102,27,2019mxmo,2019
36950,frc7103,10,2018wimi,2018
36951,frc7103,14,2018wimi,2018
36952,frc7103,30,2019mndu2,2019
36953,frc7103,21,2020mndu2,2020
36954,frc7104,2,2018gagai,2018
36955,frc7106,10,2018arli,2018
36956,frc7108,1,2019tuis,2019
36957,frc7108,17,2019tuis,2019
36958,frc7109,14,2018mishe,2018
36959,frc7110,14,2018njtab,2018
36960,frc7110,14,2018paphi,2018
36961,frc7110,15,2018paphi,2018
36962,frc7110,2,2018paphi,2018
36963,frc7111,10,2018alhu,2018
36964,frc7111,4,2019alhu,2019
36965,frc7112,14,2018isde1,2018
36966,frc7112,15,2018isde1,2018
36967,frc7112,10,2018isde3,2018
36968,frc7112,20,2019isde3,2019
36969,frc7112,13,2020isde1,2020
36970,frc7112,2,2020isde1,2020
36971,frc7113,30,2018ausp,2018
36972,frc7117,14,2018mosl,2018
36973,frc7118,14,2018wamou,2018
36974,frc7118,15,2018wamou,2018
36975,frc7118,14,2018wasno,2018
36976,frc7118,15,2018wasno,2018
36977,frc7119,1,2020txpla,2020
36978,frc7120,15,2018txda,2018
36979,frc7120,18,2020txpla,2020
36980,frc7121,2,2019txgre,2019
36981,frc7123,1,2018arli,2018
36982,frc7124,13,2018ausp,2018
36983,frc7127,10,2018cthar,2018
36984,frc7127,14,2018cthar,2018
36985,frc7127,15,2018ctsct,2018
36986,frc7127,18,2018ctsct,2018
36987,frc7127,2,2018ctsct,2018
36988,frc7127,10,2018necmp,2018
36989,frc7127,14,2018necmp,2018
36990,frc7127,20,2019cthar,2019
36991,frc7127,11,2019necmp,2019
36992,frc7128,1,2018ausp,2018
36993,frc7128,15,2018ausp,2018
36994,frc7130,27,2018ausc,2018
36995,frc7133,15,2018nhgrs,2018
36996,frc7134,10,2018shmi,2018
36997,frc7134,22,2019qcmo,2019
36998,frc7137,10,2018casf,2018
36999,frc7140,1,2018tuis,2018
37000,frc7140,16,2018tuis,2018
37001,frc7141,30,2019mokc3,2019
37002,frc7142,14,2018iacf,2018
37003,frc7144,14,2018micmp4,2018
37004,frc7144,1,2018mike2,2018
37005,frc7144,14,2018mike2,2018
37006,frc7144,1,2019milak,2019
37007,frc7145,14,2018mibel,2018
37008,frc7145,15,2018mibel,2018
37009,frc7147,10,2018mitry,2018
37010,frc7147,13,2020mimil,2020
37011,frc7148,14,2018idbo,2018
37012,frc7148,15,2018idbo,2018
37013,frc7150,15,2018mimid,2018
37014,frc7151,14,2018utwv,2018
37015,frc7152,10,2018flwp,2018
37016,frc7152,15,2018roe,2018
37017,frc7152,17,2019scmb,2019
37018,frc7152,4,2020flwp,2020
37019,frc7153,1,2018cthar,2018
37020,frc7153,15,2018cthar,2018
37021,frc7153,1,2018ctsct,2018
37022,frc7153,10,2018ctsct,2018
37023,frc7153,14,2018ctsct,2018
37024,frc7153,10,2018necmp,2018
37025,frc7153,27,2019cthar,2019
37026,frc7154,14,2018mialp,2018
37027,frc7154,27,2019mialp,2019
37028,frc7155,14,2018mitvc,2018
37029,frc7155,15,2018mitvc,2018
37030,frc7157,10,2018cair,2018
37031,frc7157,4,2019caoc,2019
37032,frc7157,20,2020cadm,2020
37033,frc7160,10,2018micmp,2018
37034,frc7160,10,2018mitvc,2018
37035,frc7160,11,2019mitvc,2019
37036,frc7160,2,2019mitvc,2019
37037,frc7160,1,2020mitvc,2020
37038,frc7160,16,2020mitvc,2020
37039,frc7161,2,2019mxcm,2019
37040,frc7161,68,2019mxcm,2019
37041,frc7161,30,2019mxto,2019
37042,frc7162,14,2018qcmo,2018
37043,frc7162,13,2019qcmo,2019
37044,frc7164,14,2018mawor,2018
37045,frc7164,14,2018rismi,2018
37046,frc7164,15,2018rismi,2018
37047,frc7165,13,2019paca,2019
37048,frc7166,15,2018mimar,2018
37049,frc7166,21,2019mifor,2019
37050,frc7166,9,2020miket,2020
37051,frc7167,13,2018bcvi,2018
37052,frc7168,15,2018miwat,2018
37053,frc7169,14,2018bcvi,2018
37054,frc7169,29,2018bcvi,2018
37055,frc7169,16,2019bcvi,2019
37056,frc7169,27,2020bcvi,2020
37057,frc7171,2,2019mialp,2019
37058,frc7173,1,2018bcvi,2018
37059,frc7174,10,2018miliv,2018
37060,frc7174,29,2019miliv,2019
37061,frc7174,29,2020onto3,2020
37062,frc7175,15,2018miliv,2018
37063,frc7177,14,2018isde2,2018
37064,frc7178,1,2018mimil,2018
37065,frc7178,14,2018mitry,2018
37066,frc7179,14,2018txda,2018
37067,frc7179,17,2018txda,2018
37068,frc7179,10,2018txho,2018
37069,frc7179,14,2018txho,2018
37070,frc7179,2,2018txho,2018
37071,frc7179,1,2019carv,2019
37072,frc7179,16,2019txgre,2019
37073,frc7184,15,2018gush,2018
37074,frc7187,14,2018micmp1,2018
37075,frc7187,10,2018migul,2018
37076,frc7187,14,2018migul,2018
37077,frc7187,14,2018milak,2018
37078,frc7188,15,2018micen,2018
37079,frc7188,10,2018mimar,2018
37080,frc7188,30,2019mimil,2019
37081,frc7190,2,2018bcvi,2018
37082,frc7190,20,2018bcvi,2018
37083,frc7190,68,2018bcvi,2018
37084,frc7190,27,2019bcvi,2019
37085,frc7190,20,2020bcvi,2020
37086,frc7191,2,2019mibb,2019
37087,frc7191,11,2019midet,2019
37088,frc7191,1,2020misou,2020
37089,frc7192,10,2018mike2,2018
37090,frc7192,1,2019mimar,2019
37091,frc7192,2,2020mike2,2020
37092,frc7193,10,2018flor,2018
37093,frc7193,14,2018flor,2018
37094,frc7193,14,2018flwp,2018
37095,frc7194,15,2018flor,2018
37096,frc7196,14,2018misou,2018
37097,frc7197,14,2018milan,2018
37098,frc7197,21,2020mijac,2020
37099,frc7198,10,2018cur,2018
37100,frc7198,10,2018incmp,2018
37101,frc7198,14,2018incmp,2018
37102,frc7198,14,2018inmis,2018
37103,frc7198,15,2018inmis,2018
37104,frc7198,1,2018inwla,2018
37105,frc7198,10,2018inwla,2018
37106,frc7198,14,2018inwla,2018
37107,frc7198,27,2019inwla,2019
37108,frc7200,14,2018onbar,2018
37109,frc7200,13,2018onto1,2018
37110,frc7200,71,2019onbar,2019
37111,frc7200,71,2019onnyo,2019
37112,frc7201,14,2018nyli2,2018
37113,frc7201,15,2018nyli2,2018
37114,frc7203,15,2018misjo,2018
37115,frc7206,14,2018micen,2018
37116,frc7206,14,2018mimar,2018
37117,frc7209,1,2018milak,2018
37118,frc7210,10,2018misjo,2018
37119,frc7210,14,2018misjo,2018
37120,frc7211,15,2018micmp4,2018
37121,frc7211,10,2018miket,2018
37122,frc7211,2,2018miket,2018
37123,frc7211,15,2018mishe,2018
37124,frc7213,14,2018micmp3,2018
37125,frc7213,1,2018mimid,2018
37126,frc7213,10,2018mimid,2018
37127,frc7213,14,2018mimid,2018
37128,frc7216,15,2018flwp,2018
37129,frc7218,1,2018mimar,2018
37130,frc7218,15,2018misou,2018
37131,frc7218,2,2018misou,2018
37132,frc7221,30,2019mijac,2019
37133,frc7222,15,2018milak,2018
37134,frc7223,14,2018miket,2018
37135,frc7223,15,2018mimil,2018
37136,frc7225,14,2018migib,2018
37137,frc7225,15,2018migib,2018
37138,frc7225,10,2018mimil,2018
37139,frc7225,14,2018mimil,2018
37140,frc7226,10,2018micmp,2018
37141,frc7226,15,2018milan,2018
37142,frc7226,1,2018mishe,2018
37143,frc7226,10,2018mishe,2018
37144,frc7226,14,2018tes,2018
37145,frc7226,22,2019milan,2019
37146,frc7226,22,2020mimcc,2020
37147,frc7227,22,2018tuis,2018
37148,frc7228,27,2019tuis,2019
37149,frc7228,3,2019tuis,2019
37150,frc7228,27,2020tuis2,2020
37151,frc7229,14,2018cada,2018
37152,frc7232,10,2018misou,2018
37153,frc7234,2,2018miesc,2018
37154,frc7234,2,2018miken,2018
37155,frc7235,15,2018ndgf,2018
37156,frc7239,20,2018tuis,2018
37157,frc7239,29,2019nyli,2019
37158,frc7240,14,2018marea,2018
37159,frc7240,15,2018marea,2018
37160,frc7243,10,2018code,2018
37161,frc7243,14,2018code,2018
37162,frc7244,10,2018mialp,2018
37163,frc7244,15,2018migay,2018
37164,frc7244,1,2019milsu,2019
37165,frc7246,13,2018abca,2018
37166,frc7246,2,2019abca,2019
37167,frc7246,68,2019abca,2019
37168,frc7247,15,2018mitry,2018
37169,frc7247,11,2019micen,2019
37170,frc7248,1,2018mifor,2018
37171,frc7248,14,2018miken,2018
37172,frc7248,13,2019miwmi,2019
37173,frc7250,15,2018mialp,2018
37174,frc7250,1,2018mibotb,2018
37175,frc7250,14,2018micmp2,2018
37176,frc7250,10,2018miesc,2018
37177,frc7250,14,2018miesc,2018
37178,frc7251,14,2018nyro,2018
37179,frc7251,20,2019qcqc,2019
37180,frc7254,10,2018milan,2018
37181,frc7255,15,2018mosl,2018
37182,frc7256,13,2018migul,2018
37183,frc7256,2,2018migul,2018
37184,frc7256,1,2018miken,2018
37185,frc7256,15,2018miken,2018
37186,frc7258,14,2018mnmi2,2018
37187,frc7259,15,2018mawor,2018
37188,frc7262,15,2018bcvi,2018
37189,frc7263,15,2018arli,2018
37190,frc7264,14,2018txsa,2018
37191,frc7265,2,2019ncpem,2019
37192,frc7266,14,2018ctwat,2018
37193,frc7266,15,2018ctwat,2018
37194,frc7266,15,2018mabos,2018
37195,frc7266,27,2019mabos,2019
37196,frc7267,10,2018onnob,2018
37197,frc7267,14,2018onosh,2018
37198,frc7267,15,2018onosh,2018
37199,frc7270,2,2020ncpem,2020
37200,frc7271,14,2018txlu,2018
37201,frc7271,15,2018txlu,2018
37202,frc7271,11,2019txama,2019
37203,frc7271,2,2019txama,2019
37204,frc7271,20,2019txelp,2019
37205,frc7274,14,2018paca,2018
37206,frc7274,15,2018paca,2018
37207,frc7275,14,2018lake,2018
37208,frc7277,10,2018abca,2018
37209,frc7277,9,2019abca,2019
37210,frc7277,0,2020abca,2020
37211,frc7285,1,2020tuis2,2020
37212,frc7285,3,2020tuis2,2020
37213,frc7285,71,2020tuis2,2020
37214,frc7286,10,2018isde4,2018
37215,frc7287,10,2018bcvi,2018
37216,frc7287,2,2020bcvi,2020
37217,frc7289,10,2018miken,2018
37218,frc7289,29,2019milan,2019
37219,frc7289,20,2020mike2,2020
37220,frc7291,15,2018tuis,2018
37221,frc7292,1,2020tuis,2020
37222,frc7293,1,2018tuis,2018
37223,frc7295,2,2018tuis,2018
37224,frc7296,2,2020tuis2,2020
37225,frc7296,21,2020tuis2,2020
37226,frc7296,68,2020tuis2,2020
37227,frc7299,20,2020mxmo,2020
37228,frc7301,10,2018idbo,2018
37229,frc7303,10,2018txda,2018
37230,frc7303,27,2019txdls,2019
37231,frc7303,27,2019txpla,2019
37232,frc7308,14,2018cacg,2018
37233,frc7308,15,2018cacg,2018
37234,frc7308,21,2019camb,2019
37235,frc7308,2,2019casj,2019
37236,frc7308,68,2019casj,2019
37237,frc7309,15,2018iacf,2018
37238,frc7312,10,2018txpa,2018
37239,frc7312,2,2019txpas,2019
37240,frc7312,22,2019txpas,2019
37241,frc7312,9,2019txsan,2019
37242,frc7314,10,2018nhdur,2018
37243,frc7314,14,2018nhdur,2018
37244,frc7314,13,2019nhsnh,2019
37245,frc7314,4,2020necmp,2020
37246,frc7315,13,2018gaalb,2018
37247,frc7321,2,2020txpla,2020
37248,frc7322,14,2018cair,2018
37249,frc7327,10,2018cave,2018
37250,frc7329,15,2018arc,2018
37251,frc7329,10,2018oncmp,2018
37252,frc7329,10,2018onnyo,2018
37253,frc7330,15,2018vapor,2018
37254,frc7400,10,2019nyli2,2019
37255,frc7400,4,2020nyli2,2020
37256,frc7403,10,2019flwp,2019
37257,frc7403,13,2019roe,2019
37258,frc7406,15,2019tnkn,2019
37259,frc7407,14,2019cthar,2019
37260,frc7407,14,2019necmp,2019
37261,frc7407,16,2020ctwat,2020
37262,frc7409,10,2019scmb,2019
37263,frc7410,15,2019txpas,2019
37264,frc7411,15,2019iacf,2019
37265,frc7411,1,2020ilch,2020
37266,frc7411,20,2020ilch,2020
37267,frc7413,14,2019cafr,2019
37268,frc7413,22,2019cafr,2019
37269,frc7413,15,2019camb,2019
37270,frc7414,13,2019mrcmp,2019
37271,frc7414,10,2019pahat,2019
37272,frc7414,14,2019pahat,2019
37273,frc7414,14,2019paphi,2019
37274,frc7414,15,2019paphi,2019
37275,frc7415,15,2019casd,2019
37276,frc7416,15,2019necmp,2019
37277,frc7416,10,2019nhdur,2019
37278,frc7416,14,2019nhdur,2019
37279,frc7416,1,2019nhgrs,2019
37280,frc7416,14,2019nhgrs,2019
37281,frc7416,15,2019nhgrs,2019
37282,frc7417,15,2019ilpe,2019
37283,frc7417,4,2019ilpe,2019
37284,frc7417,10,2019wimi,2019
